&Wall,start X,start Y,end X,end Y,arrow,mode,pointerX1,pointerY1,pointerX2,pointerY2,
Line0,3.33,3.33,50.97,3.33,1,line,NaN,NaN,NaN,NaN,
Line1,3.33,3.33,3.33,33.31,-1,line,NaN,NaN,NaN,NaN,
Line2,3.33,33.31,50.97,33.31,1,line,NaN,NaN,NaN,NaN,
Line3,23.31,3.33,30,14,1,line,NaN,NaN,NaN,NaN,
Line4,23.31,33.31,30,20,1,line,NaN,NaN,NaN,NaN,
Line5,30,14,37,14,-1,line,NaN,NaN,NaN,NaN,
Line6,30,20,37,20,0,line,NaN,NaN,NaN,NaN,
Line7,46,8,46,27,1,line,46,29,46,6,
,,,,,,,,,,,
,,,,,,,,,,,
&Door,X,Y,Direction,,,,,,,,
Door1,72.33,32,1,,,,,,,,
Door2,72.33,6,2,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
&Agent,InitalX,InitialY,DestX,DestY,acclTime,tpre,p,mass,interRange,radius,maxSpeed
Person1,6.33,13,66,23,8,3,0,47,3,0.35,1.2
Person2,7.33,15,66,23,3,6,0.6,60,3,0.35,1.2
Person3,8.33,17,66,23,7,12,0,43,3,0.35,1.2
Person4,9.33,23,66,23,7,17,0.3,60,3,0.35,1.2
Person5,10.33,8,66,23,6,26,0.4,60,3,0.35,1.2
Person6,11.33,8,66,23,6,30,0.36,60,3,0.35,1.2
Person7,12.33,12,66,23,2,36,0.63,76,3,0.35,1.2
Person8,13.33,16,66,23,12,47,0.66,60,3,0.35,1.2
,,,,,,,,,,,
,,,,,,,,,,,
&GroupABD,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8,,,
Person1,0;1,22.3,0,1,1,0,0,0.3,,,
Person2,16|16,0,1,1,1,1,1,1,,,
Person3,0;1,1,2,1.2,1,1.3,1,0.6,,,
Person4,1;1,1,0.3,0,1,1,0.6,1.2,,,
Person5,1;1,1,1,1,4,1,1,1,,,
Person6,1;1.2,0,1,1,1,0,0,1,,,
Person7,1;1,1,1,1,1,0,6,0,,,
Person8,0.2;1,1,1,0.3,1,1,0,2,,,
,,,,,,,,,,,
,,,,,,,,,,,
&GroupA,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,,,
Person0,0,122.3,0,0,0,0,0,0,,,
Person1,260,0,30,20,0,0,0,0,,,
Person2,0,33,2,96,0,1.3,1,0.6,,,
Person3,0,17,76,0,180,1,0.6,1.2,,,
Person4,0,0,1,140,0,0,0,0,,,
Person5,0,0,0,0,0,66,70,0,,,
Person6,20,0,0,0,0,300,6,0,,,
Person7,0.2,1,1,0.3,0,1,0,0,,,
,,,,,,,,,,,
,,,,,,,,,,,
&GroupB,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,,,
Person0,1,20,3,1,3,3,6,1,,,
Person1,36,1,1,1,1,1,1,1,,,
Person2,2,2,3,30,1,2,1,3,,,
Person3,1,0.6,23,1,1,1,1,1,,,
Person4,1,1,1,1,3,1,6,1,,,
Person5,1.2,1.6,1,1,1,1,2.2,1,,,
Person6,1,7.6,13.3,1,1,1,1,1,,,
Person7,1,1,1,0.3,1,3.6,1,1,,,
,,,,,,,,,,,
,,,,,,,,,,,
&GroupD,Person0,Person1,Person2,Person3,Person4,Person5,Person6,Person7,,,
Person0,0,2,1,1,1,3,3,1,,,
Person1,2,1.3,1,1.6,1,1,1,1,,,
Person2,6,2,3,1.7,6,6,6,7,,,
Person3,6,1,1.3,1,1,1,1,1,,,
Person4,6,1,1,1,1,1.2,1,1,,,
Person5,6,1.6,1,2.2,1,1,1,1,,,
Person6,6,1,1,1,1,1,1,1,,,
Person7,6,1,1,3.2,1,1,1,1,,,
